Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2013-14,Tas,Hospitals,Private hospitals,Non-government,Health insurance funds,"153,291,828.48","185,919,500.73"
2013-14,Tas,Hospitals,Private hospitals,Non-government,Individuals,"54,312,408.14","65,872,629.38"
2013-14,Tas,Hospitals,Private hospitals,Non-government,Other source of funds,"22,212,137.80","26,939,919.83"
2013-14,Tas,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"16,433,086.50","19,930,816.06"
2013-14,Tas,Hospitals,Public hospital services,Australian Government,DoHAC and other,"471,706,003.06","572,050,321.22"
2013-14,Tas,Hospitals,Public hospital services,Australian Government,Premium rebates,"7,300,563.67","8,854,465.14"
2013-14,Tas,Hospitals,Public hospital services,Non-government,Health insurance funds,"17,010,731.39","20,631,410.81"
2013-14,Tas,Hospitals,Public hospital services,Non-government,Individuals,"6,995,143.25","8,484,036.97"
2013-14,Tas,Hospitals,Public hospital services,Non-government,Other source of funds,"25,844,174.32","31,345,023.63"
2013-14,Tas,Hospitals,Public hospital services,State and local government,State and local government,"410,540,173.26","497,922,327.62"
2013-14,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"2,745,000.00","3,349,435.72"
2013-14,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-2,745,000.00","-3,349,435.72"
2013-14,Tas,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,Tas,Other services,Administration,Australian Government,DoHAC and other,"33,836,357.97","41,286,960.34"
2013-14,Tas,Other services,Administration,Australian Government,Premium rebates,"11,882,069.10","14,498,443.25"
2013-14,Tas,Other services,Administration,Non-government,Health insurance funds,"27,686,479.53","33,782,908.40"
2013-14,Tas,Other services,Administration,State and local government,State and local government,0.00,0.00
2013-14,Tas,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"3,000.00","3,532.19"
2013-14,Tas,Other services,Aids and appliances,Australian Government,DoHAC and other,"11,008,680.88","12,961,587.58"
2013-14,Tas,Other services,Aids and appliances,Australian Government,Premium rebates,"6,101,559.41","7,183,957.60"
2013-14,Tas,Other services,Aids and appliances,Non-government,Health insurance funds,"14,217,279.69","16,739,382.12"
2013-14,Tas,Other services,Aids and appliances,Non-government,Individuals,"52,722,441.67","62,075,243.40"
2013-14,Tas,Other services,Aids and appliances,Non-government,Other source of funds,"3,187,478.34","3,752,927.36"
2013-14,Tas,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"6,145,000.00","7,452,943.47"
2013-14,Tas,Other services,Patient transport services,Australian Government,DoHAC and other,"1,196,314.72","1,450,946.45"
2013-14,Tas,Other services,Patient transport services,Australian Government,Premium rebates,"42,355.29","51,370.47"
2013-14,Tas,Other services,Patient transport services,Non-government,Health insurance funds,"98,692.30","119,698.64"
2013-14,Tas,Other services,Patient transport services,Non-government,Individuals,"89,778.75","108,887.87"
2013-14,Tas,Other services,Patient transport services,Non-government,Other source of funds,"5,391,316.54","6,538,840.91"
2013-14,Tas,Other services,Patient transport services,State and local government,State and local government,"68,107,464.39","82,603,918.95"
2013-14,Tas,Primary health care,All other medications,Australian Government,DoHAC and other,"13,844,952.42","14,679,688.92"
2013-14,Tas,Primary health care,All other medications,Australian Government,Premium rebates,"642,824.87","681,581.91"
2013-14,Tas,Primary health care,All other medications,Non-government,Health insurance funds,"1,497,850.04","1,588,158.05"
2013-14,Tas,Primary health care,All other medications,Non-government,Individuals,"279,962,003.75","296,841,404.56"
2013-14,Tas,Primary health care,All other medications,Non-government,Other source of funds,"2,162,103.96","2,292,461.00"
2013-14,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"11,890,000.00","15,192,541.03"
2013-14,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"217,322,276.44","277,683,660.76"
2013-14,Tas,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"40,588,461.71","51,862,226.22"
2013-14,Tas,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"69,000.00","84,193.47"
2013-14,Tas,Primary health care,Community health and other,Australian Government,DoHAC and other,"27,045,915.29","33,000,878.72"
2013-14,Tas,Primary health care,Community health and other,Australian Government,Premium rebates,"2,536.84","3,095.45"
2013-14,Tas,Primary health care,Community health and other,Non-government,Health insurance funds,"5,911.12","7,212.71"
2013-14,Tas,Primary health care,Community health and other,Non-government,Individuals,"308,857.23","376,866.10"
2013-14,Tas,Primary health care,Community health and other,Non-government,Other source of funds,"1,971,431.91","2,405,531.68"
2013-14,Tas,Primary health care,Community health and other,State and local government,State and local government,"104,378,292.75","127,361,887.96"
2013-14,Tas,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,180,000.00","2,373,816.97"
2013-14,Tas,Primary health care,Dental services,Australian Government,DoHAC and other,"7,017,357.69","7,641,248.99"
2013-14,Tas,Primary health care,Dental services,Australian Government,Premium rebates,"12,368,176.14","13,467,791.95"
2013-14,Tas,Primary health care,Dental services,Non-government,Health insurance funds,"28,819,160.43","31,381,381.72"
2013-14,Tas,Primary health care,Dental services,Non-government,Individuals,"81,238,467.84","88,461,125.59"
2013-14,Tas,Primary health care,Dental services,Non-government,Other source of funds,"3,352,481.70","3,650,540.35"
2013-14,Tas,Primary health care,Dental services,State and local government,State and local government,"16,919,600.11","18,423,868.77"
2013-14,Tas,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"5,972,000.00","7,431,346.65"
2013-14,Tas,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"27,742,043.58","34,521,222.83"
2013-14,Tas,Primary health care,Other health practitioners,Australian Government,Premium rebates,"5,232,058.30","6,510,589.25"
2013-14,Tas,Primary health care,Other health practitioners,Non-government,Health insurance funds,"12,191,250.02","15,170,362.53"
2013-14,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"45,281,129.65","56,346,244.36"
2013-14,Tas,Primary health care,Other health practitioners,Non-government,Other source of funds,"12,174,990.52","15,150,129.78"
2013-14,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"5,311,000.72","6,608,822.41"
2013-14,Tas,Primary health care,Public health,Australian Government,DoHAC and other,"27,533,964.66","33,394,552.02"
2013-14,Tas,Primary health care,Public health,Non-government,Individuals,"2,237.58","2,713.85"
2013-14,Tas,Primary health care,Public health,Non-government,Other source of funds,"14,933.18","18,111.66"
2013-14,Tas,Primary health care,Public health,State and local government,State and local government,"20,347,924.29","24,678,914.47"
2013-14,Tas,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"3,597,058.63","4,078,310.92"
2013-14,Tas,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"182,403,016.88","206,806,772.73"
2013-14,Tas,Primary health care,Unreferred medical services,Non-government,Individuals,"19,754,200.00","22,397,124.39"
2013-14,Tas,Primary health care,Unreferred medical services,Non-government,Other source of funds,"20,717,909.13","23,489,768.65"
2013-14,Tas,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"16,270,181.74","18,446,977.57"
2013-14,Tas,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"238,135,683.00","269,995,976.29"
2013-14,Tas,Referred medical services,Referred medical services,Australian Government,Premium rebates,"13,672,087.34","15,501,282.81"
2013-14,Tas,Referred medical services,Referred medical services,Non-government,Health insurance funds,"31,857,411.61","36,119,630.80"
2013-14,Tas,Referred medical services,Referred medical services,Non-government,Individuals,"38,334,676.05","43,463,491.72"
2013-14,Tas,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,Tas,Research,Research,Australian Government,DoHAC and other,"69,315,122.44","84,577,962.87"
2013-14,Tas,Research,Research,Non-government,Other source of funds,"4,360,418.08","5,320,561.05"
2013-14,Tas,Research,Research,State and local government,State and local government,"9,236,296.63","11,270,084.47"
2013-14,Vic,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"10,003,460.20","10,512,447.03"
2013-14,Vic,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"991,759,075.49","1,176,951,856.30"
2013-14,Vic,Capital expenditure,Capital expenditure,State and local government,State and local government,"913,000,000.00","1,057,163,703.92"
2013-14,Vic,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"198,059,590.55","241,193,022.05"
2013-14,Vic,Hospitals,Private hospitals,Australian Government,DoHAC and other,"64,800,430.41","78,912,672.68"
2013-14,Vic,Hospitals,Private hospitals,Australian Government,Premium rebates,"709,746,325.00","864,314,929.37"
2013-14,Vic,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,653,749,579.58","2,013,903,278.86"
2013-14,Vic,Hospitals,Private hospitals,Non-government,Individuals,"381,177,401.70","464,190,242.95"
2013-14,Vic,Hospitals,Private hospitals,Non-government,Other source of funds,"274,951,103.18","334,829,973.68"
2013-14,Vic,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"137,323,409.45","167,229,711.18"
2013-14,Vic,Hospitals,Public hospital services,Australian Government,DoHAC and other,"3,977,384,494.04","4,842,889,589.36"
2013-14,Vic,Hospitals,Public hospital services,Australian Government,Premium rebates,"72,070,013.09","87,765,425.59"
2013-14,Vic,Hospitals,Public hospital services,Non-government,Health insurance funds,"167,927,257.47","204,498,467.36"
2013-14,Vic,Hospitals,Public hospital services,Non-government,Individuals,"411,389,949.70","500,982,481.77"
2013-14,Vic,Hospitals,Public hospital services,Non-government,Other source of funds,"299,818,786.35","365,113,342.64"
2013-14,Vic,Hospitals,Public hospital services,State and local government,State and local government,"5,608,544,088.85","6,829,973,213.37"
2013-14,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"58,590,000.00","73,281,944.10"
2013-14,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-58,590,000.00","-73,281,944.10"
2013-14,Vic,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,Vic,Other services,Administration,Australian Government,DoHAC and other,"330,859,224.99","413,825,008.19"
2013-14,Vic,Other services,Administration,Australian Government,Premium rebates,"120,293,165.86","150,457,707.04"
2013-14,Vic,Other services,Administration,Non-government,Health insurance funds,"280,295,817.63","350,582,393.55"
2013-14,Vic,Other services,Administration,State and local government,State and local government,"-424,000.00","-530,321.63"
2013-14,Vic,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"23,000.00","27,080.13"
2013-14,Vic,Other services,Aids and appliances,Australian Government,DoHAC and other,"114,330,594.97","134,612,496.80"
2013-14,Vic,Other services,Aids and appliances,Australian Government,Premium rebates,"50,450,565.78","59,400,343.60"
2013-14,Vic,Other services,Aids and appliances,Non-government,Health insurance funds,"117,555,161.88","138,409,092.14"
2013-14,Vic,Other services,Aids and appliances,Non-government,Individuals,"840,293,026.49","989,358,468.54"
2013-14,Vic,Other services,Aids and appliances,Non-government,Other source of funds,"29,360,301.42","34,568,730.12"
2013-14,Vic,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"32,338,000.00","39,380,571.91"
2013-14,Vic,Other services,Patient transport services,Australian Government,DoHAC and other,"549,235.97","668,848.62"
2013-14,Vic,Other services,Patient transport services,Australian Government,Premium rebates,"10,460,842.89","12,739,005.98"
2013-14,Vic,Other services,Patient transport services,Non-government,Health insurance funds,"24,374,871.91","29,683,233.23"
2013-14,Vic,Other services,Patient transport services,Non-government,Individuals,"225,161,000.00","274,196,578.35"
2013-14,Vic,Other services,Patient transport services,Non-government,Other source of funds,"31,300,197.67","38,116,756.91"
2013-14,Vic,Other services,Patient transport services,State and local government,State and local government,"452,888,763.04","551,518,909.57"
2013-14,Vic,Primary health care,All other medications,Australian Government,DoHAC and other,"136,062,595.11","145,302,067.30"
2013-14,Vic,Primary health care,All other medications,Australian Government,Premium rebates,"3,139,772.69","3,352,982.22"
2013-14,Vic,Primary health care,All other medications,Non-government,Health insurance funds,"7,316,002.91","7,812,803.71"
2013-14,Vic,Primary health care,All other medications,Non-government,Individuals,"2,275,567,491.39","2,430,092,271.15"
2013-14,Vic,Primary health care,All other medications,Non-government,Other source of funds,"24,967,034.33","26,662,446.79"
2013-14,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"84,473,000.00","107,936,040.21"
2013-14,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,873,316,552.25","2,393,628,228.35"
2013-14,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"396,336,435.93","506,421,998.56"
2013-14,Vic,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"300,000.00","375,227.57"
2013-14,Vic,Primary health care,Community health and other,Australian Government,DoHAC and other,"179,135,431.39","224,034,684.51"
2013-14,Vic,Primary health care,Community health and other,Australian Government,Premium rebates,"52,189.29","65,276.20"
2013-14,Vic,Primary health care,Community health and other,Non-government,Health insurance funds,"121,606.57","152,100.46"
2013-14,Vic,Primary health care,Community health and other,Non-government,Individuals,"12,524,777.06","15,665,472.13"
2013-14,Vic,Primary health care,Community health and other,Non-government,Other source of funds,"23,499,596.88","29,392,321.99"
2013-14,Vic,Primary health care,Community health and other,State and local government,State and local government,"569,314,455.83","712,074,929.62"
2013-14,Vic,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"17,122,000.00","18,644,263.40"
2013-14,Vic,Primary health care,Dental services,Australian Government,DoHAC and other,"84,052,193.07","91,525,010.31"
2013-14,Vic,Primary health care,Dental services,Australian Government,Premium rebates,"131,178,820.30","142,841,518.38"
2013-14,Vic,Primary health care,Dental services,Non-government,Health insurance funds,"305,660,545.46","332,835,867.28"
2013-14,Vic,Primary health care,Dental services,Non-government,Individuals,"2,006,176,264.01","2,184,539,112.62"
2013-14,Vic,Primary health care,Dental services,Non-government,Other source of funds,"12,092,108.61","13,167,180.12"
2013-14,Vic,Primary health care,Dental services,State and local government,State and local government,"179,186,030.46","195,116,899.25"
2013-14,Vic,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"45,156,000.00","56,190,537.43"
2013-14,Vic,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"342,272,201.42","425,911,483.41"
2013-14,Vic,Primary health care,Other health practitioners,Australian Government,Premium rebates,"70,624,176.19","87,882,239.69"
2013-14,Vic,Primary health care,Other health practitioners,Non-government,Health insurance funds,"164,561,810.88","204,774,926.78"
2013-14,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"911,881,798.03","1,134,713,621.73"
2013-14,Vic,Primary health care,Other health practitioners,Non-government,Other source of funds,"79,478,667.55","98,900,457.17"
2013-14,Vic,Primary health care,Public health,Australian Government,DoHAC and other,"297,962,644.42","362,856,940.24"
2013-14,Vic,Primary health care,Public health,Non-government,Individuals,"2,517,150.54","3,065,335.76"
2013-14,Vic,Primary health care,Public health,Non-government,Other source of funds,"1,255,068.53","1,528,397.44"
2013-14,Vic,Primary health care,Public health,State and local government,State and local government,"209,321,580.39","254,907,648.83"
2013-14,Vic,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"21,979,681.31","24,841,331.16"
2013-14,Vic,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"1,946,901,379.29","2,200,378,408.51"
2013-14,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"176,222,377.00","199,165,691.39"
2013-14,Vic,Primary health care,Unreferred medical services,Non-government,Other source of funds,"182,676,146.83","206,459,711.32"
2013-14,Vic,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"114,786,821.54","129,731,519.14"
2013-14,Vic,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"2,893,799,789.00","3,270,558,742.49"
2013-14,Vic,Referred medical services,Referred medical services,Australian Government,Premium rebates,"161,564,353.87","182,599,263.44"
2013-14,Vic,Referred medical services,Referred medical services,Non-government,Health insurance funds,"376,462,057.04","425,475,624.32"
2013-14,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"549,641,544.09","621,202,255.97"
2013-14,Vic,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,Vic,Research,Research,Australian Government,DoHAC and other,"1,226,132,385.95","1,533,594,879.62"
2013-14,Vic,Research,Research,Non-government,Individuals,"40,288.85","50,391.62"
2013-14,Vic,Research,Research,Non-government,Other source of funds,"68,430,278.72","85,589,756.95"
2013-14,Vic,Research,Research,State and local government,State and local government,"45,744,111.16","57,214,838.66"
2013-14,WA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"4,521,337.95","4,749,090.32"
2013-14,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"461,342,953.72","533,830,642.87"
2013-14,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"972,000,000.00","1,098,934,067.79"
2013-14,WA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"79,431,403.68","91,702,511.32"
2013-14,WA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"41,690,964.98","48,131,670.98"
2013-14,WA,Hospitals,Private hospitals,Australian Government,Premium rebates,"324,009,162.02","374,064,318.01"
2013-14,WA,Hospitals,Private hospitals,Non-government,Health insurance funds,"754,959,901.30","871,591,281.08"
2013-14,WA,Hospitals,Private hospitals,Non-government,Individuals,"-19,044,335.61","-21,986,435.10"
2013-14,WA,Hospitals,Private hospitals,Non-government,Other source of funds,"95,814,802.28","110,616,929.61"
2013-14,WA,Hospitals,Private hospitals,State and local government,State and local government,"461,210,730.75","532,461,725.41"
2013-14,WA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"70,851,596.32","81,797,236.51"
2013-14,WA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"1,679,286,391.48","1,938,304,444.93"
2013-14,WA,Hospitals,Public hospital services,Australian Government,Premium rebates,"21,434,741.09","24,746,126.80"
2013-14,WA,Hospitals,Public hospital services,Non-government,Health insurance funds,"49,944,174.15","57,659,892.48"
2013-14,WA,Hospitals,Public hospital services,Non-government,Individuals,"316,896,758.97","365,853,142.19"
2013-14,WA,Hospitals,Public hospital services,Non-government,Other source of funds,"43,609,844.39","50,346,992.04"
2013-14,WA,Hospitals,Public hospital services,State and local government,State and local government,"2,717,059,891.28","3,136,809,925.04"
2013-14,WA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"19,125,000.00","22,392,138.94"
2013-14,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-19,125,000.00","-22,392,138.94"
2013-14,WA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,WA,Other services,Administration,Australian Government,DoHAC and other,"124,363,999.52","145,609,200.35"
2013-14,WA,Other services,Administration,Australian Government,Premium rebates,"67,154,043.90","78,626,022.56"
2013-14,WA,Other services,Administration,Non-government,Health insurance funds,"156,476,035.09","183,206,960.46"
2013-14,WA,Other services,Administration,Non-government,Individuals,"3,800,559.27","4,449,811.83"
2013-14,WA,Other services,Administration,Non-government,Other source of funds,"523,015.13","612,362.22"
2013-14,WA,Other services,Administration,State and local government,State and local government,"144,788,304.06","169,522,605.05"
2013-14,WA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"291,000.00","342,622.52"
2013-14,WA,Other services,Aids and appliances,Australian Government,DoHAC and other,"45,371,155.93","53,419,861.81"
2013-14,WA,Other services,Aids and appliances,Australian Government,Premium rebates,"28,187,335.64","33,187,683.75"
2013-14,WA,Other services,Aids and appliances,Non-government,Health insurance funds,"65,679,477.59","77,330,818.31"
2013-14,WA,Other services,Aids and appliances,Non-government,Individuals,"523,181,922.43","615,992,813.49"
2013-14,WA,Other services,Aids and appliances,Non-government,Other source of funds,"10,674,262.19","12,567,844.03"
2013-14,WA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"7,560,000.00","8,727,920.61"
2013-14,WA,Other services,Patient transport services,Australian Government,DoHAC and other,"16,470,927.10","19,015,468.81"
2013-14,WA,Other services,Patient transport services,Australian Government,Premium rebates,"9,776,911.81","11,287,316.16"
2013-14,WA,Other services,Patient transport services,Non-government,Health insurance funds,"22,781,240.08","26,300,642.18"
2013-14,WA,Other services,Patient transport services,Non-government,Individuals,"3,390,695.74","3,914,513.66"
2013-14,WA,Other services,Patient transport services,Non-government,Other source of funds,"9,919,471.63","11,451,899.59"
2013-14,WA,Other services,Patient transport services,State and local government,State and local government,"202,766,361.91","234,091,099.18"
2013-14,WA,Primary health care,All other medications,Australian Government,DoHAC and other,"57,373,531.76","58,302,146.67"
2013-14,WA,Primary health care,All other medications,Australian Government,Premium rebates,"2,460,033.95","2,499,850.65"
2013-14,WA,Primary health care,All other medications,Non-government,Health insurance funds,"5,732,139.68","5,824,916.78"
2013-14,WA,Primary health care,All other medications,Non-government,Individuals,"840,056,603.28","853,653,275.26"
2013-14,WA,Primary health care,All other medications,Non-government,Other source of funds,"27,533,714.44","27,979,359.27"
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"31,767,000.00","40,590,534.13"
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"722,973,462.02","923,776,325.61"
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"158,332,624.63","202,310,756.56"
2013-14,WA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"124,000.00","145,183.02"
2013-14,WA,Primary health care,Community health and other,Australian Government,DoHAC and other,"154,398,936.82","180,770,817.38"
2013-14,WA,Primary health care,Community health and other,Australian Government,Premium rebates,"10,226.62","11,973.64"
2013-14,WA,Primary health care,Community health and other,Non-government,Health insurance funds,"23,829.10","27,899.85"
2013-14,WA,Primary health care,Community health and other,Non-government,Individuals,"11,638,432.83","13,626,635.56"
2013-14,WA,Primary health care,Community health and other,Non-government,Other source of funds,"3,974,726.10","4,653,731.71"
2013-14,WA,Primary health care,Community health and other,State and local government,State and local government,"708,944,478.98","830,054,027.49"
2013-14,WA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"10,332,000.00","11,250,585.76"
2013-14,WA,Primary health care,Dental services,Australian Government,DoHAC and other,"3,181,336.53","3,464,179.20"
2013-14,WA,Primary health care,Dental services,Australian Government,Premium rebates,"102,078,782.60","111,154,287.47"
2013-14,WA,Primary health care,Dental services,Non-government,Health insurance funds,"237,854,375.41","259,001,263.01"
2013-14,WA,Primary health care,Dental services,Non-government,Individuals,"831,736,580.89","905,683,675.43"
2013-14,WA,Primary health care,Dental services,Non-government,Other source of funds,"6,364,691.60","6,930,556.39"
2013-14,WA,Primary health care,Dental services,State and local government,State and local government,"96,040,548.53","104,579,212.92"
2013-14,WA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"21,663,000.00","26,956,674.91"
2013-14,WA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"105,182,922.47","130,885,927.49"
2013-14,WA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"36,674,659.31","45,636,655.52"
2013-14,WA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"85,455,840.69","106,338,241.09"
2013-14,WA,Primary health care,Other health practitioners,Non-government,Individuals,"86,535,585.67","107,681,837.75"
2013-14,WA,Primary health care,Other health practitioners,Non-government,Other source of funds,"39,330,682.87","48,941,717.78"
2013-14,WA,Primary health care,Public health,Australian Government,DoHAC and other,"134,648,234.12","155,450,375.77"
2013-14,WA,Primary health care,Public health,State and local government,State and local government,"124,064,130.78","143,230,407.99"
2013-14,WA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"10,503,841.86","10,809,961.17"
2013-14,WA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"678,208,890.31","697,973,778.29"
2013-14,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"94,612,556.00","97,369,902.39"
2013-14,WA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"120,192,354.90","123,695,187.61"
2013-14,WA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"62,665,287.07","64,491,576.42"
2013-14,WA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"989,009,130.00","1,017,832,373.62"
2013-14,WA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"66,135,019.88","68,062,429.58"
2013-14,WA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"154,101,601.19","158,592,669.94"
2013-14,WA,Referred medical services,Referred medical services,Non-government,Individuals,"265,009,112.93","272,732,421.03"
2013-14,WA,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2013-14,WA,Research,Research,Australian Government,DoHAC and other,"346,430,550.05","405,611,412.89"
2013-14,WA,Research,Research,Non-government,Individuals,"857,193.62","1,003,628.68"
2013-14,WA,Research,Research,Non-government,Other source of funds,"23,819,377.35","27,888,460.50"
2013-14,WA,Research,Research,State and local government,State and local government,"46,599,178.83","54,559,753.56"
2014-15,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"4,835,536.30","4,637,898.60"
2014-15,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"56,436,825.66","62,120,888.36"
2014-15,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"80,000,000.00","87,480,960.30"
2014-15,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"6,649,000.00","7,561,989.41"
2014-15,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"2,656,505.34","3,020,749.43"
2014-15,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"36,057,769.99","41,008,944.90"
2014-15,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"88,765,076.95","100,953,612.80"
2014-15,ACT,Hospitals,Private hospitals,Non-government,Individuals,"30,657,034.26","34,866,621.79"
2014-15,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"12,188,161.28","13,861,745.60"
2014-15,ACT,Hospitals,Private hospitals,State and local government,State and local government,"7,116,000.00","8,093,114.24"
2014-15,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"30,387,346.85","34,559,902.99"
2014-15,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"338,819,856.91","385,317,990.44"
2014-15,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,285,119.56","4,873,519.13"
2014-15,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"10,548,876.63","11,997,367.02"
2014-15,ACT,Hospitals,Public hospital services,Non-government,Individuals,"3,930,084.92","4,469,733.87"
2014-15,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"12,630,235.73","14,364,522.31"
2014-15,ACT,Hospitals,Public hospital services,State and local government,State and local government,"645,702,944.72","734,365,893.72"
2014-15,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"4,408,000.00","5,233,192.16"
2014-15,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-4,408,000.00","-5,233,192.16"
2014-15,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"39,620,000.00","47,036,994.83"
2014-15,ACT,Other services,Administration,Australian Government,DoHAC and other,"19,946,814.05","23,622,894.82"
2014-15,ACT,Other services,Administration,Australian Government,Premium rebates,"366,811.54","435,479.87"
2014-15,ACT,Other services,Administration,Non-government,Health insurance funds,"903,019.42","1,072,067.64"
2014-15,ACT,Other services,Administration,State and local government,State and local government,0.00,0.00
2014-15,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0.00,0.00
2014-15,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"7,201,970.36","8,200,752.53"
2014-15,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"4,005,402.06","4,560,878.40"
2014-15,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"9,860,529.01","11,228,004.88"
